Product ID,Product Name,Chinese Name,Image Link,Video Link,Price (RM),Category
"B175","DRAGON BALL (1.75) 1.75","","https://media.bmfireworks.com/bearboom/images/B175_107.png","https://media.bmfireworks.com/bearboom/videos/B175_107.mp4","48","single-fireworks"
"B061","18 SHOOT ROMA CANDLE (0.8)  (0.8)","","https://media.bmfireworks.com/bearboom/images/B061_108.png","https://media.bmfireworks.com/bearboom/videos/B061_108.mp4","28","single-fireworks"
"B126","WOLF HOWL BANANA","","","","45","single-fireworks"
"B124","1(BIG) THUNDER DOUBLE BANG","","https://media.bmfireworks.com/bearboom/images/B124_110.png","https://media.bmfireworks.com/bearboom/videos/B124_110.mp4","16","single-fireworks"
"B125","1(BIG) FLOWER DOUBLE BANG","","https://media.bmfireworks.com/bearboom/images/B125_111.png","https://media.bmfireworks.com/bearboom/videos/B125_111.mp4","20","single-fireworks"
"B097","11 SHOOT 4 BUNGA BANANA","","https://media.bmfireworks.com/bearboom/images/B097_112.png","","98","single-fireworks"
"B158","18 SHOOT ROMA CANDLE (1.5)  (1.5)","","https://media.bmfireworks.com/bearboom/images/B158_113.png","","58","single-fireworks"
"B054","4"" 25 SHOOT CAKE 425","","https://media.bmfireworks.com/bearboom/images/B054_114.png","https://media.bmfireworks.com/bearboom/videos/B054_114.mp4","20","mold-fireworks"
"B055","4"" 36 SHOOT CAKE 436","","https://media.bmfireworks.com/bearboom/images/B055_115.png","https://media.bmfireworks.com/bearboom/videos/B055_115.mp4","28","mold-fireworks"
"B056","4"" 49 SHOOT CAKE 449","","https://media.bmfireworks.com/bearboom/images/B056_116.png","https://media.bmfireworks.com/bearboom/videos/B056_116.mp4","40","mold-fireworks"
"B057","4"" 138 SHOOT CAKE  4138 B401","","https://media.bmfireworks.com/bearboom/images/B057_117.png","https://media.bmfireworks.com/bearboom/videos/B057_117.mp4","88","mold-fireworks"
"B058","4"" 138 SHOOT CAKE (FULL GOLD) 4138 -","","https://media.bmfireworks.com/bearboom/images/B058_118.png","https://media.bmfireworks.com/bearboom/videos/B058_118.mp4","128","mold-fireworks"
"B404","4"" 25 SHOOT CAKE THUNDERIUM 425 -","","https://media.bmfireworks.com/bearboom/images/B404_119.png","","25","mold-fireworks"
"B401","4""138 SHOOT CAKE - GALAXY PREMIUM 1ABCD","","https://media.bmfireworks.com/bearboom/images/cm4131l9100425kbknfqt6rbw.png","https://media.bmfireworks.com/bearboom/videos/cm4131l9100425kbknfqt6rbw.mp4","138","papertube-fireworks"
"B402","4""49 SHOOT CAKE - GALAXY PREMIUM","","https://media.bmfireworks.com/bearboom/images/cmf7xqv37002qlb04qvko1u89.png","https://media.bmfireworks.com/bearboom/videos/cmf7xqv37002qlb04qvko1u89.mp4","50","papertube-fireworks"
"B053","4"" 16 SHOOT CAKE 416","","https://media.bmfireworks.com/bearboom/images/cmf7xxbg70081li04vejzkgyd.png","https://media.bmfireworks.com/bearboom/videos/cmf7xxbg70081li04vejzkgyd.mp4","16","papertube-fireworks"
"B927","9""138 SHOOT CAKE - THUNDER TIGER(1.2)9138 (1.2)","","https://media.bmfireworks.com/bearboom/images/B927_123.png","","628","award-winning"
"B933","9""138 SHOOT CAKE - FLOWER WORLD(1.2)9138 (1.2)","","https://media.bmfireworks.com/bearboom/images/B933_124.png","","650","award-winning"
